filepath,label
data/raw/not_skin/not_skin_0969.jpg,not_skin
data/raw/not_skin/not_skin_0169.jpg,not_skin
data/raw/dermnet/train/Scabies Lyme Disease and other Infestations and Bites/myiasis-5.jpg,skin
data/raw/not_skin/not_skin_0869.jpg,not_skin
data/raw/not_skin/not_skin_1616.jpg,not_skin
data/raw/not_skin/not_skin_1780.jpg,not_skin
data/raw/not_skin/not_skin_1464.jpg,not_skin
data/raw/not_skin/not_skin_1182.jpg,not_skin
data/raw/not_skin/not_skin_1842.jpg,not_skin
data/raw/dermnet/test/Warts Molluscum and other Viral Infections/herpes-type-1-recurrent-42.jpg,skin
data/raw/not_skin/not_skin_0096.jpg,not_skin
data/raw/not_skin/not_skin_1109.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0027274.jpg,skin
data/raw/not_skin/not_skin_0762.jpg,not_skin
data/raw/not_skin/not_skin_0515.jpg,not_skin
data/raw/dermnet/test/Cellulitis Impetigo and other Bacterial Infections/Staphylococcal-Folliculitis-7.jpg,skin
data/raw/not_skin/not_skin_2505.jpg,not_skin
data/raw/not_skin/not_skin_2816.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0028220.jpg,skin
data/raw/not_skin/not_skin_1509.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0030153.jpg,skin
data/raw/not_skin/not_skin_2458.jpg,not_skin
data/raw/not_skin/not_skin_1791.jpg,not_skin
data/raw/not_skin/not_skin_0317.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0024786.jpg,skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0032783.jpg,skin
data/raw/dermnet/train/Light Diseases and Disorders of Pigmentation/phototoxic-reactions-35.jpg,skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0029739.jpg,skin
data/raw/not_skin/not_skin_2258.jpg,not_skin
data/raw/not_skin/not_skin_1743.jpg,not_skin
data/raw/dermnet/test/Eczema Photos/eczema-hand-152.jpg,skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0032677.jpg,skin
data/raw/not_skin/not_skin_2623.jpg,not_skin
data/raw/dermnet/test/Tinea Ringworm Candidiasis and other Fungal Infections/tinea-body-130.jpg,skin
data/raw/dermnet/train/Bullous Disease Photos/dariers-disease-29.jpg,skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0028055.jpg,skin
data/raw/dermnet/train/Hair Loss Photos Alopecia and other Hair Diseases/ingrown-eyelash-2.jpg,skin
data/raw/dermnet/train/Atopic Dermatitis Photos/05Atopic10067.jpg,skin
data/raw/not_skin/not_skin_0689.jpg,not_skin
data/raw/not_skin/not_skin_0065.jpg,not_skin
data/raw/not_skin/not_skin_2478.jpg,not_skin
data/raw/dermnet/train/Poison Ivy Photos and other Contact Dermatitis/shoe-allergy-11.jpg,skin
data/raw/dermnet/train/Atopic Dermatitis Photos/11IMG007.jpg,skin
data/raw/not_skin/not_skin_2423.jpg,not_skin
data/raw/dermnet/train/Eczema Photos/Dyshidrosis-56.jpg,skin
data/raw/not_skin/not_skin_0076.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0028549.jpg,skin
data/raw/dermnet/train/Nail Fungus and other Nail Disease/biting-excoriation-20.jpg,skin
data/raw/dermnet/train/Acne and Rosacea Photos/acne-open-comedo-4.jpg,skin
data/raw/dermnet/train/Vascular Tumors/hemangioma-infancy-50.jpg,skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0027793.jpg,skin
data/raw/not_skin/not_skin_2897.jpg,not_skin
data/raw/dermnet/train/Hair Loss Photos Alopecia and other Hair Diseases/androgenic-alopecia-women-9.jpg,skin
data/raw/not_skin/not_skin_0004.jpg,not_skin
data/raw/not_skin/not_skin_2792.jpg,not_skin
data/raw/not_skin/not_skin_0440.jpg,not_skin
data/raw/not_skin/not_skin_1056.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0027166.jpg,skin
data/raw/not_skin/not_skin_2933.jpg,not_skin
data/raw/dermnet/train/Eczema Photos/milroy-disease-1.jpg,skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0030181.jpg,skin
data/raw/not_skin/not_skin_2710.jpg,not_skin
data/raw/not_skin/not_skin_1558.jpg,not_skin
data/raw/dermnet/train/Eczema Photos/eczema-nummular-9.jpg,skin
data/raw/dermnet/train/Vascular Tumors/hemangioma-49.jpg,skin
data/raw/not_skin/not_skin_2994.jpg,not_skin
data/raw/not_skin/not_skin_0263.jpg,not_skin
data/raw/not_skin/not_skin_1861.jpg,not_skin
data/raw/not_skin/not_skin_1636.jpg,not_skin
data/raw/not_skin/not_skin_0185.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0032462.jpg,skin
data/raw/dermnet/train/Seborrheic Keratoses and other Benign Tumors/seborrheic-keratoses-smooth-59.jpg,skin
data/raw/dermnet/train/Light Diseases and Disorders of Pigmentation/sun-damaged-skin-103.jpg,skin
data/raw/not_skin/not_skin_2382.jpg,not_skin
data/raw/not_skin/not_skin_0480.jpg,not_skin
data/raw/not_skin/not_skin_2182.jpg,not_skin
data/raw/dermnet/train/Exanthems and Drug Eruptions/drug-eruptions-82.jpg,skin
data/raw/not_skin/not_skin_2429.jpg,not_skin
data/raw/not_skin/not_skin_0391.jpg,not_skin
data/raw/not_skin/not_skin_2896.jpg,not_skin
data/raw/not_skin/not_skin_0271.jpg,not_skin
data/raw/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-81.jpg,skin
data/raw/not_skin/not_skin_2831.jpg,not_skin
data/raw/not_skin/not_skin_1786.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0031398.jpg,skin
data/raw/not_skin/not_skin_0432.jpg,not_skin
data/raw/dermnet/train/Tinea Ringworm Candidiasis and other Fungal Infections/candidiasis-large-skin-folds-136.jpg,skin
data/raw/not_skin/not_skin_0314.jpg,not_skin
data/raw/not_skin/not_skin_2520.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0028325.jpg,skin
data/raw/not_skin/not_skin_0131.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0027083.jpg,skin
data/raw/not_skin/not_skin_2307.jpg,not_skin
data/raw/not_skin/not_skin_0766.jpg,not_skin
data/raw/not_skin/not_skin_0907.jpg,not_skin
data/raw/dermnet/train/Herpes HPV and other STDs Photos/molluscum-contagiosum-153.jpg,skin
data/raw/dermnet/train/Seborrheic Keratoses and other Benign Tumors/skin-tags-polyps-62.jpg,skin
data/raw/not_skin/not_skin_0641.jpg,not_skin
data/raw/not_skin/not_skin_1237.jpg,not_skin
data/raw/not_skin/not_skin_0775.jpg,not_skin
data/raw/not_skin/not_skin_0535.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0029876.jpg,skin
data/raw/not_skin/not_skin_0555.jpg,not_skin
data/raw/not_skin/not_skin_2778.jpg,not_skin
data/raw/dermnet/train/Hair Loss Photos Alopecia and other Hair Diseases/acne-keloidalis-6.jpg,skin
data/raw/not_skin/not_skin_1752.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0026152.jpg,skin
data/raw/dermnet/train/Tinea Ringworm Candidiasis and other Fungal Infections/perleche-27.jpg,skin
data/raw/not_skin/not_skin_1354.jpg,not_skin
data/raw/not_skin/not_skin_1934.jpg,not_skin
data/raw/dermnet/test/Lupus and other Connective Tissue diseases/morphea-69.jpg,skin
data/raw/not_skin/not_skin_0693.jpg,not_skin
data/raw/not_skin/not_skin_2889.jpg,not_skin
data/raw/not_skin/not_skin_0528.jpg,not_skin
data/raw/dermnet/test/Atopic Dermatitis Photos/03ichthyosis050127.jpg,skin
data/raw/dermnet/test/Bullous Disease Photos/dermatitis-herpetiformis-72.jpg,skin
data/raw/dermnet/train/Poison Ivy Photos and other Contact Dermatitis/rhus-dermatitis-78.jpg,skin
data/raw/dermnet/train/Nail Fungus and other Nail Disease/pachyonychia-congenita-2.jpg,skin
data/raw/not_skin/not_skin_0656.jpg,not_skin
data/raw/not_skin/not_skin_2652.jpg,not_skin
data/raw/not_skin/not_skin_1559.jpg,not_skin
data/raw/dermnet/test/Seborrheic Keratoses and other Benign Tumors/keratoacanthoma-136.jpg,skin
data/raw/not_skin/not_skin_0269.jpg,not_skin
data/raw/not_skin/not_skin_0409.jpg,not_skin
data/raw/dermnet/train/Exanthems and Drug Eruptions/drug-eruptions-34.jpg,skin
data/raw/not_skin/not_skin_1145.jpg,not_skin
data/raw/not_skin/not_skin_2560.jpg,not_skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0032729.jpg,skin
data/raw/not_skin/not_skin_1168.jpg,not_skin
data/raw/not_skin/not_skin_2027.jpg,not_skin
data/raw/not_skin/not_skin_2658.jpg,not_skin
data/raw/not_skin/not_skin_1311.jpg,not_skin
data/raw/dermnet/train/Tinea Ringworm Candidiasis and other Fungal Infections/tinea-foot-dorsum-1.jpg,skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0027149.jpg,skin
data/raw/dermnet/train/Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions/basal-cell-carcinoma-lesion-61.jpg,skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0030065.jpg,skin
data/raw/ham10000/HAM10000_images_part_1/ISIC_0025679.jpg,skin
data/raw/ham10000/HAM10000_images_part_2/ISIC_0032804.jpg,skin
data/raw/not_skin/not_skin_0374.jpg,not_skin
